OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinSF1,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
0.4444444444444445,0.6159420289855078,0.1166666666666671,0.0,3,1,3,3,0.163359319631467,0.2150572831423895,4,0.2248737953189536,0.0,0.1846269781461944,0.3333333333333333,3,0.2499999999999999,0.0,5,1,0.5181818181818159,1,0.25,0.2073342736248236,0.2917152858809801,0.0,145000
0.5555555555555556,0.8768115942028984,0.7333333333333343,0.0,2,2,2,3,0.0,0.1307692307692307,2,0.106700321248279,0.3738498789346247,0.2330444611906556,0.6666666666666666,3,0.4166666666666666,0.3333333333333333,4,1,0.8454545454545439,1,0.5,0.2679830747531734,0.0,0.073126142595978,178000
0.4444444444444445,0.27536231884058,0.0,0.0,3,1,1,3,0.0,0.1302782324058919,2,0.1060119320789352,0.0,0.0870384325546345,0.3333333333333333,3,0.1666666666666666,0.0,5,6,-1.0,3,0.0,0.0,0.3827304550758459,0.0,85000
0.4444444444444445,0.471014492753623,0.0,0.1575,3,0,2,3,0.1008150248051027,0.1196399345335515,0,0.148462597521799,0.3811138014527845,0.2701582516955539,0.3333333333333333,2,0.4166666666666666,0.6666666666666666,4,5,0.3545454545454518,2,0.25,0.1692524682651622,0.0,0.0,175000
0.4444444444444445,0.3768115942028984,0.0,0.0,3,0,3,3,0.0386250885896527,0.1679214402618658,4,0.158788435061955,0.3220338983050847,0.2556518462697814,0.6666666666666666,2,0.3333333333333333,0.3333333333333333,2,5,0.2181818181818151,2,0.25,0.2172073342736248,0.0,0.0,127000
0.4444444444444445,0.72463768115942,0.3666666666666671,0.0,3,2,3,3,0.1583982990786676,0.1463175122749591,4,0.1284993116108306,0.0,0.1055011303692539,0.3333333333333333,3,0.2499999999999999,0.0,5,1,0.6818181818181799,2,0.5,0.389280677009873,0.2987164527421236,0.0,149900
0.5555555555555556,0.9637681159420292,0.9166666666666644,0.0,2,2,2,0,0.0,0.1119476268412438,0,0.0803120697567691,0.4242130750605327,0.2309721175584024,0.6666666666666666,2,0.3333333333333333,0.3333333333333333,2,3,0.9545454545454533,0,0.5,0.2820874471086037,0.116686114352392,0.0694698354661791,174000
0.3333333333333333,0.3623188405797108,0.9500000000000028,0.0,3,0,3,3,0.1302267895109851,0.1302782324058919,2,0.1060119320789352,0.173365617433414,0.1544837980406933,0.3333333333333333,2,0.4166666666666666,0.0,5,5,0.1999999999999993,2,0.25,0.1692524682651622,0.0,0.1755027422303473,125500
0.5555555555555556,0.7898550724637676,0.5166666666666657,0.13125,3,1,2,3,0.1041814316087881,0.2327332242225859,4,0.2496558054153281,0.0,0.2049736247174077,0.6666666666666666,2,0.4166666666666666,0.3333333333333333,4,1,0.7363636363636346,0,0.5,0.4062059238363892,0.322053675612602,0.0,175500
0.7777777777777777,0.9782608695652169,0.9500000000000028,0.0875,2,2,2,0,0.0,0.2448445171849427,0,0.2666360715924736,0.0,0.2189148455162019,0.6666666666666666,2,0.4166666666666666,0.0,5,1,0.9727272727272728,0,0.5,0.3342736248236953,0.1960326721120186,0.2376599634369287,225000
0.5555555555555556,0.6811594202898554,0.2666666666666657,0.0,3,1,3,1,0.0331325301204819,0.1332242225859247,2,0.1328591096833409,0.0,0.1090806330067822,0.3333333333333333,3,0.3333333333333333,0.0,5,5,0.8181818181818166,2,0.25,0.1692524682651622,0.0,0.0,129000
0.4444444444444445,0.6811594202898554,0.2666666666666657,0.654375,3,1,3,0,0.0914245216158752,0.1675941080196399,4,0.1725562184488297,0.0,0.1416729464958553,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,2,1,0.5999999999999979,1,0.5,0.3413258110014104,0.0,0.0,159950
0.6666666666666665,0.7681159420289863,0.4666666666666685,0.12875,3,1,2,3,0.1247342310418143,0.2080196399345335,4,0.2907296925195043,0.0,0.238696307460437,0.6666666666666666,3,0.4166666666666666,0.3333333333333333,4,1,0.7090909090909072,1,0.5,0.3370944992947813,0.0,0.0,157000
0.6666666666666665,0.6739130434782616,0.6666666666666643,0.11,3,1,3,3,0.0804394046775336,0.1256955810147299,4,0.1955025240936209,0.387409200968523,0.3112283345892991,0.6666666666666666,3,0.4166666666666666,1.0,1,1,0.5909090909090899,2,0.5,0.3427362482369534,0.0,0.0767824497257769,205000
0.6666666666666665,0.7028985507246386,0.3166666666666629,0.105,3,1,3,3,0.0,0.1905073649754501,4,0.1904543368517668,0.0,0.1563677467972871,0.3333333333333333,3,0.3333333333333333,0.0,5,1,0.6272727272727252,2,0.5,0.3723554301833568,0.0,0.0,140000
